attack,defense,budget,substitute_arch,victim_arch,victim_accuracy,substitute_accuracy,fidelity,protection_score,utility_cost,query_efficiency,attack_roi,defense_latency_ms,meta_attack,meta_queries_used,meta_query_time_s,meta_rounds,meta_train_time_s
random_query,throttle_250,1000,small_cnn,resnet50,82.65,9.43,9.63,0.8859,0.0,9.63,0.00943,0.005,random_query,1000,0.68,,9.99
random_query,throttle_250,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.005,random_query,1000,0.69,,6.53
random_query,throttle_250,5000,small_cnn,resnet50,82.65,10.32,11.03,0.8751,0.0,2.206,0.002064,0.005,random_query,5000,3.46,,52.19
random_query,throttle_250,5000,mobilenetv3_small,resnet50,82.65,9.74,9.83,0.8822,0.0,1.966,0.001948,0.004,random_query,5000,3.43,,30.41
random_query,throttle_500,1000,small_cnn,resnet50,82.65,9.96,9.96,0.8795,0.0,9.96,0.00996,0.004,random_query,1000,0.68,,9.68
random_query,throttle_500,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.004,random_query,1000,0.66,,6.19
random_query,throttle_500,5000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,2.004,0.002,0.005,random_query,5000,3.34,,50.41
random_query,throttle_500,5000,mobilenetv3_small,resnet50,82.65,9.9,10.07,0.8802,0.0,2.014,0.00198,0.016,random_query,5000,3.51,,31.71
random_query,throttle_1000,1000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.005,random_query,1000,0.65,,9.56
random_query,throttle_1000,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.015,random_query,1000,0.64,,5.84
random_query,throttle_1000,5000,small_cnn,resnet50,82.65,9.96,9.97,0.8795,0.0,1.994,0.001992,0.005,random_query,5000,3.27,,49.12
random_query,throttle_1000,5000,mobilenetv3_small,resnet50,82.65,10.08,10.12,0.878,0.0,2.024,0.002016,0.005,random_query,5000,3.46,,33.61
random_query,poison_0.30,1000,small_cnn,resnet50,82.65,8.04,7.87,0.9027,0.0,7.87,0.00804,0.176,random_query,1000,0.71,,10.31
random_query,poison_0.30,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.174,random_query,1000,0.69,,6.58
random_query,poison_0.30,5000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,2.004,0.002,0.175,random_query,5000,3.46,,52.41
random_query,poison_0.30,5000,mobilenetv3_small,resnet50,82.65,11.43,11.45,0.8617,0.0,2.29,0.002286,0.174,random_query,5000,3.42,,31.37
random_query,poison_0.50,1000,small_cnn,resnet50,82.65,9.83,9.66,0.8811,0.0,9.66,0.00983,0.248,random_query,1000,0.68,,9.9
random_query,poison_0.50,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.249,random_query,1000,0.68,,6.65
random_query,poison_0.50,5000,small_cnn,resnet50,82.65,10.08,10.1,0.878,0.0,2.02,0.002016,0.248,random_query,5000,3.42,,51.51
random_query,poison_0.50,5000,mobilenetv3_small,resnet50,82.65,8.84,8.82,0.893,0.0,1.764,0.001768,0.241,random_query,5000,3.42,,33.39
random_query,adaptive_aggressive,1000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.015,random_query,1000,0.68,,9.88
random_query,adaptive_aggressive,1000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,10.02,0.01,0.024,random_query,1000,0.68,,6.66
random_query,adaptive_aggressive,5000,small_cnn,resnet50,82.65,10.0,10.02,0.879,0.0,2.004,0.002,0.015,random_query,5000,3.4,,51.65
random_query,adaptive_aggressive,5000,mobilenetv3_small,resnet50,82.65,10.0,10.02,0.879,0.0,2.004,0.002,0.015,random_query,5000,3.44,,33.94
knockoff_nets,throttle_250,1000,small_cnn,resnet50,82.65,27.08,27.36,0.6724,0.0,27.36,0.02708,0.013,knockoff_nets,1000,0.71,,10.4
knockoff_nets,throttle_250,1000,mobilenetv3_small,resnet50,82.65,10.0,9.77,0.879,0.0,9.77,0.01,0.005,knockoff_nets,1000,0.71,,6.8
knockoff_nets,throttle_250,5000,small_cnn,resnet50,82.65,26.65,26.62,0.6776,0.0,5.324,0.00533,0.004,knockoff_nets,5000,3.0,,52.8
knockoff_nets,throttle_250,5000,mobilenetv3_small,resnet50,82.65,18.58,20.32,0.7752,0.0,4.064,0.003716,0.004,knockoff_nets,5000,2.99,,33.72
